#set TABLES:=1 2 3 4 5 6; #new problem more difficult
set TABLES:=1 2 3; #new problem more difficult
set GUESTS:=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27; #example problem from paper

# param A:=5; # maximum number of people at a table
param A:=9; # maximum number of people at a table
param B:=1; # minimum people at each table the guest knows

param C:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27:=
1 0	    100	100	80	80	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	0	0	20	20	0	0	0
2 100	0	100	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20
3 100	100	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 80	0	0	0	50	90	90	50	0	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0
5 80	0	0	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0
6 0	    80	90	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7 0	    80	90	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8 0	    0	90	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9 0	    0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 10	0	0	10	0	0	0	0	0	0	70	20	20	20	20	20	20	20	20	0	0	0	0	0	0	0	0
11 10	0	0	10	0	0	0	0	0	70	0	20	20	20	20	20	20	20	20	0	0	0	0	0	0	0	0
12 10	0	0	10	0	0	0	0	0	20	20	0	70	20	20	10	10	10	10	0	0	0	0	0	0	0	0
13 10	0	0	10	0	0	0	0	0	20	20	70	0	20	20	10	10	10	10	0	0	0	0	0	0	0	0
14 10	0	0	10	0	0	0	0	0	20	20	20	20	0	70	10	10	10	10	0	0	0	0	0	0	0	0
15 10	0	0	10	0	0	0	0	0	20	20	20	20	70	0	10	10	10	10	0	0	0	0	0	0	0	0
16 10	0	0	10	0	0	0	0	0	20	20	10	10	10	10	0	20	20	20	0	0	0	0	0	0	0	0
17 10	0	0	10	0	0	0	0	0	20	20	10	10	10	10	20	0	20	20	0	0	0	0	0	0	0	0
18 10	0	0	10	0	0	0	0	0	20	20	10	10	10	10	20	20	0	20	0	0	0	0	0	0	0	0
19 10	0	0	10	0	0	0	0	0	20	20	10	10	10	10	20	20	20	0	0	0	0	0	0	0	0	0
20 0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	0	0	-50	-50	0
21 0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	30	0	0	-50	-50	0
22 0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	0	0	0	50	50	0
23 20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
24 20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
25 0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	-50	50	0	0	0	30	0
26 0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	-50	50	0	0	30	0	0
27 20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0;

param n:=3; # maximum number of tables
param m:=27; # maximum number of guests
